name,lat,lon,url
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2022.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2023.txt.gz&dir=data/historical/stdmet/
41005,31.7,-79.7,https://www.ndbc.noaa.gov/view_text_file.php?filename=41005h1979.txt.gz&dir=data/historical/stdmet/
41005,31.7,-79.7,https://www.ndbc.noaa.gov/view_text_file.php?filename=41005h1980.txt.gz&dir=data/historical/stdmet/
41005,31.7,-79.7,https://www.ndbc.noaa.gov/view_text_file.php?filename=41005h1981.txt.gz&dir=data/historical/stdmet/
41005,31.7,-79.7,https://www.ndbc.noaa.gov/view_text_file.php?filename=41005h1982.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1982.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1983.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1984.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1985.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1986.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1987.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1988.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1989.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1990.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1991.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1992.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1993.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1994.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1995.txt.gz&dir=data/historical/stdmet/
41006,29.3,-77.4,https://www.ndbc.noaa.gov/view_text_file.php?filename=41006h1996.txt.gz&dir=data/historical/stdmet/
41007,34.2,-76.5,https://www.ndbc.noaa.gov/view_text_file.php?filename=41007h1986.txt.gz&dir=data/historical/stdmet/
41008,31.4,-80.866,https://www.ndbc.noaa.gov/view_text_file.php?filename=41008h1988.txt.gz&dir=data/historical/stdmet/
41008,31.4,-80.866,https://www.ndbc.noaa.gov/view_text_file.php?filename=41008h1989.txt.gz&dir=data/historical/stdmet/
41008,31.4,-80.866,https://www.ndbc.noaa.gov/view_text_file.php?filename=41008h1990.txt.gz&dir=data/historical/stdmet/
41008,31.4,-80.866,https://www.ndbc.noaa.gov/view_text_file.php?filename=41008h1991.txt.gz&dir=data/historical/stdmet/
41008,31.4,-80.866,https://www.ndbc.noaa.gov/view_text_file.php?filename=41008h1992.txt.gz&dir=data/historical/stdmet/
41008,31.4,-80.866,https://www.ndbc.noaa.gov/view_text_file.php?filename=41008h1997.txt.gz&dir=data/historical/stdmet/
